Class,Total Filenames,Percentage of Filenames,Unique Filenames,Percentage of Unique Filenames
Ablagerung,53108,24.358786188676476,28115,30.693566523652006
Materialabtrag,43783,20.0817341210142,24273,26.499197589493335
Lageabweichung,36235,16.619729937988478,26532,28.965381718141025
Riss,19647,9.01139324111107,11499,12.553630498149543
Muffenschaden,16800,7.705573698308443,14559,15.894278321815742
Anschluss,15397,7.06206656147947,12129,13.241410932433762
Wurzel,13830,6.343338348071772,9682,10.569984388475858
nicht lernen,10620,4.871023373573551,8469,9.245734123734975
Hindernis,6377,2.92490734964958,4617,5.040448039825762
Bruch,1131,0.5187502293325505,852,0.9301411587462746
Deformation,1096,0.5026969507944079,951,1.0382209412766514
